date,close,high,low,open,volume,weighted_tavg,weighted_prcp,Fed_Rate,CPI,GDP,gk_vol_1d,gk_vol_21d
2022-03-09,1199.5,1199.50000001,1199.5,1199.5,5,-2.0746107633559348,0.7075227670323949,0.08,287.504,25215.491,5.894912136103662e-12,0.031437480810861285
2022-03-10,1073.75,1073.75000001,1073.75,1073.75,6,-3.458999625486668,0.336239087078614,0.08,287.504,25215.491,6.585281790180825e-12,0.030243605350689134
2022-03-11,1090.0,1090.0,1030.75,1035.75,10,-3.6905883259545993,0.9265481830859748,0.08,287.504,25215.491,0.023560660665937715,0.030627418122686483
2022-03-14,1090.0,1090.00000001,1090.0,1090.0,38656,6.535982085585857,2.64643832185896,0.08,287.504,25215.491,6.487151011513996e-12,0.02917495285213796
2022-03-15,1154.25,1160.75,1088.25,1106.0,30964,8.04939692184265,0.9325442062240074,0.08,287.504,25215.491,0.03708740559386744,0.02949594749066397
2022-03-16,1069.25,1159.5,1069.25,1157.25,37914,10.382675289319948,0.2482365678348581,0.08,287.504,25215.491,0.029440523545073656,0.02951677744205896
2022-03-17,1098.0,1108.25,1031.75,1051.0,31158,10.369240226888849,1.8298936201928244,0.33,287.504,25215.491,0.04264549154557713,0.03061804576439019
2022-03-18,1063.75,1106.0,1055.75,1095.0,19393,7.495040787890296,2.5389374267579514,0.33,287.504,25215.491,0.027517481821402356,0.03134630218282634
2022-03-21,1119.25,1148.75,1061.75,1075.0,37035,10.851693611672651,12.629931765944324,0.33,287.504,25215.491,0.04972605812546021,0.03295540947164312
2022-03-22,1118.25,1169.25,1102.25,1119.25,29006,8.26749412136972,7.116020873592232,0.33,287.504,25215.491,0.04172194590231528,0.03400711240198787
2022-03-23,1105.75,1139.0,1101.0,1119.25,24464,6.236901039166057,4.597661614367002,0.33,287.504,25215.491,0.02277717266252131,0.033666545690007335
2022-03-24,1085.75,1115.0,1080.5,1105.75,22420,7.004576183302591,0.6899185469003641,0.33,287.504,25215.491,0.01911120424409565,0.03323058137503562
2022-03-25,1102.25,1109.0,1064.75,1089.5,27912,7.175300107611995,0.0924490564230559,0.33,287.504,25215.491,0.027869597153773382,0.033412238850864494
2022-03-28,1057.0,1096.0,1047.0,1092.75,26162,7.826140601168563,0.0097222587011303,0.33,287.504,25215.491,0.024871549268736245,0.03146673260600972
2022-03-29,1014.25,1068.25,972.0,1047.0,45986,10.883124874290688,6.857049209923988,0.33,287.504,25215.491,0.06377738692562604,0.032853213379576335
