date,close,high,low,open,volume,weighted_tavg,weighted_prcp,Fed_Rate,CPI,GDP
2012-03-30,660.75,668.75,612.75,613.0,118402,14.470102080507452,1.1567076911692546,0.09,229.392,16068.805
2012-04-02,657.0,666.5,649.25,663.75,79665,16.211769448080645,1.181725047677339,0.15,230.085,16207.115
2012-04-03,658.0,659.0,649.5,655.75,55586,13.44156263312317,0.3222973219355649,0.15,230.085,16207.115
2012-04-04,639.25,658.75,635.5,658.5,61565,13.496783555041327,1.4360530949413832,0.15,230.085,16207.115
2012-04-05,638.5,650.0,636.0,641.0,5,12.112657924941017,0.4994741767384238,0.15,230.085,16207.115
2012-04-09,643.0,649.0,636.5,637.25,60188,11.09146023413722,0.0079949480352192,0.16,230.085,16207.115
2012-04-10,625.75,653.25,624.0,641.75,96735,10.034081601847577,0.0052812149080465,0.15,230.085,16207.115
2012-04-11,628.0,633.75,619.75,626.25,70253,10.024274260858926,0.2012737583102757,0.16,230.085,16207.115
2012-04-12,639.25,645.75,628.0,628.0,83130,11.468729275462897,2.571570698534974,0.15,230.085,16207.115
2012-04-13,623.5,643.25,618.5,640.25,88586,13.602518643890669,2.4799571187931773,0.15,230.085,16207.115
2012-04-16,616.25,625.5,615.0,623.25,49485,10.605570210522018,4.9065742916978685,0.15,230.085,16207.115
2012-04-17,615.5,627.0,615.0,617.25,40351,12.19587491782596,0.3166323301947316,0.16,230.085,16207.115
2012-04-18,610.75,618.75,604.25,616.0,55830,13.276721621661778,1.2005415635881955,0.15,230.085,16207.115
2012-04-19,624.75,628.25,611.75,611.75,33065,13.516480101933182,2.864388007362421,0.13,230.085,16207.115
2012-04-20,615.75,627.75,614.25,625.25,40295,11.898255817315452,2.2051523110282574,0.12,230.085,16207.115
2012-04-23,625.0,627.75,614.25,616.25,27228,14.309503546641134,0.033787016585608,0.13,230.085,16207.115
2012-04-24,624.5,639.25,622.75,625.0,27341,17.555922621080658,0.0021405696829166,0.14,230.085,16207.115
2012-04-25,616.5,633.75,615.0,624.5,32696,19.950967249359365,0.5610921314013001,0.15,230.085,16207.115
2012-04-26,626.0,627.75,615.5,617.75,19816,17.096795991172534,0.5747794174218304,0.14,230.085,16207.115
2012-04-27,642.25,646.0,623.75,625.25,27711,13.885453191734433,1.3482368592340186,0.13,230.085,16207.115
2012-04-30,647.75,649.75,633.75,645.0,3904,15.98462740645992,0.5028071987450677,0.16,230.085,16207.115
2012-05-01,633.75,647.5,633.75,647.5,3732,18.222164614046005,3.5328124304833697,0.16,229.815,16207.115
2012-05-02,607.0,630.5,607.0,629.5,1311,19.21250033486512,1.3517535563033904,0.15,229.815,16207.115
2012-05-03,608.25,613.0,606.75,607.0,659,19.5716220296144,0.4539579936151916,0.15,229.815,16207.115
2012-05-04,603.75,611.25,594.0,611.25,784,19.47738982593074,1.9196409160212609,0.16,229.815,16207.115
2012-05-07,606.25,606.25,595.5,600.0,456,15.855925430689377,2.8032605135013355,0.16,229.815,16207.115
2012-05-08,609.0,613.0,609.0,612.0,809,15.28606416661282,1.7901208548981595,0.16,229.815,16207.115
2012-05-09,591.25,605.5,589.75,605.5,781,16.318433175916113,0.4261443047106709,0.15,229.815,16207.115
2012-05-10,594.75,594.75,591.0,593.5,365,17.147957372740958,0.018163385670087,0.15,229.815,16207.115
2012-05-11,592.75,595.25,590.0,593.25,576,15.692036926302906,4.265041919125091,0.15,229.815,16207.115
2012-05-14,597.75,604.0,597.75,600.25,36826,19.43125694114311,0.8839247490973566,0.16,229.815,16207.115
2012-05-15,608.5,617.25,597.5,597.75,62763,19.301278754781368,0.3017147713764765,0.16,229.815,16207.115
2012-05-16,638.75,639.75,604.0,608.5,82702,19.41544294674817,0.2869274028021978,0.16,229.815,16207.115
2012-05-17,657.75,658.5,637.75,638.25,100155,21.29012978479592,0.0653289773200196,0.16,229.815,16207.115
2012-05-18,695.25,697.5,652.5,656.75,134342,21.32970531487792,0.0514266658135214,0.16,229.815,16207.115
2012-05-21,704.0,722.0,682.75,700.0,143939,19.41297664724765,0.8448914721368298,0.16,229.815,16207.115
2012-05-22,685.5,702.25,681.75,698.5,110736,20.50171028145326,2.0730750566315663,0.16,229.815,16207.115
2012-05-23,665.5,685.0,663.5,683.0,83959,20.76277228815445,0.3997269782937713,0.15,229.815,16207.115
2012-05-24,663.0,676.5,661.75,667.75,66972,19.535199849528706,1.64776442538037,0.15,229.815,16207.115
2012-05-25,680.0,688.25,661.75,664.75,72925,18.418544454338395,8.980639461538544,0.15,229.815,16207.115
2012-05-29,656.75,684.0,655.25,675.0,81727,18.468478608734586,0.925167294755864,0.16,229.815,16207.115
2012-05-30,653.75,661.25,644.25,657.0,79250,18.006012849038054,2.868535443135719,0.16,229.815,16207.115
2012-05-31,643.75,653.75,642.5,652.5,70598,17.0971935073889,1.885267609284632,0.16,229.815,16207.115
2012-06-01,612.25,646.5,611.0,643.5,117506,16.847606576398682,1.0130975960777338,0.16,229.478,16207.115
2012-06-04,627.75,631.5,613.25,620.25,68065,23.218300741296048,0.4144465336799852,0.17,229.478,16207.115
2012-06-05,613.25,631.0,611.75,626.25,66686,23.164229788719112,0.2101280415406214,0.17,229.478,16207.115
2012-06-06,624.25,628.75,612.75,612.75,61757,21.715640937219867,0.6914134462504744,0.16,229.478,16207.115
2012-06-07,641.75,644.75,620.25,622.0,79374,21.80179967515305,1.5980940093601146,0.16,229.478,16207.115
2012-06-08,630.25,638.75,627.75,637.5,79052,22.388841096470887,1.3085365605009238,0.17,229.478,16207.115
2012-06-11,630.5,642.25,629.0,629.25,67687,20.88934622380521,3.15128024894816,0.17,229.478,16207.115
2012-06-12,616.0,639.75,613.25,630.0,79395,20.530820986576657,1.708173121523343,0.16,229.478,16207.115
2012-06-13,616.0,623.75,614.25,617.0,64238,21.57676375352335,3.9905822895987697,0.17,229.478,16207.115
2012-06-14,623.5,629.0,615.0,615.25,48784,22.98270986551057,4.934848011700171,0.17,229.478,16207.115
2012-06-15,609.5,627.75,607.5,623.25,65148,22.731652525844023,0.3445024239277748,0.18,229.478,16207.115
2012-06-18,630.25,634.0,612.0,613.5,54147,24.42342844235888,2.423415904044438,0.17,229.478,16207.115
2012-06-19,649.5,652.0,628.25,630.0,79394,23.218168115755525,3.7266475826588654,0.17,229.478,16207.115
2012-06-20,664.0,665.25,639.25,648.75,61732,22.97742082333404,6.113043269313625,0.16,229.478,16207.115
2012-06-21,661.75,682.0,655.0,659.75,63181,22.447627645073386,5.727784114282821,0.17,229.478,16207.115
2012-06-22,673.25,684.75,657.75,659.5,58722,23.195783837937515,0.358119330863143,0.17,229.478,16207.115
2012-06-25,724.25,725.25,682.0,682.0,48234,26.2642123291118,0.2868132800440066,0.17,229.478,16207.115
2012-06-26,729.0,738.75,709.25,723.25,25185,26.08414978957303,0.150967012479549,0.16,229.478,16207.115
2012-06-27,732.0,744.75,721.5,727.5,26581,26.328357632598724,0.223262179465584,0.15,229.478,16207.115
2012-06-28,726.0,737.25,723.0,731.0,26852,26.5046537225652,0.032402747293491,0.15,229.478,16207.115
2012-06-29,739.0,743.0,723.0,726.0,8377,21.05944799859552,0.1930278077771321,0.09,229.478,16207.115
2012-07-02,754.5,756.75,740.25,741.75,2310,26.30200369253074,0.1667879990567558,0.18,229.104,16319.541
2012-07-03,782.25,782.25,757.0,761.0,2240,27.711560362082704,0.2824982815593382,0.17,229.104,16319.541
2012-07-05,822.5,824.0,793.25,801.0,2049,26.523627186005587,0.2320510812155879,0.17,229.104,16319.541
2012-07-06,791.25,818.5,790.25,818.5,1305,26.017261606709887,1.527990395126012,0.17,229.104,16319.541
2012-07-09,810.75,823.75,799.75,799.75,841,24.85142006146512,4.898137736646907,0.17,229.104,16319.541
2012-07-10,804.75,813.75,793.0,806.25,361,24.78004497119604,2.3169226111137986,0.17,229.104,16319.541
2012-07-11,807.75,831.0,788.5,804.75,202,25.000116536373568,1.6305166946990597,0.17,229.104,16319.541
2012-07-12,832.75,842.0,810.5,810.5,45,25.09485846746984,4.009124912579258,0.18,229.104,16319.541
2012-07-13,842.0,850.25,830.25,831.0,42285,24.816437402178902,11.659397170733204,0.19,229.104,16319.541
2012-07-16,884.5,889.0,856.25,858.5,48061,26.27497010231872,0.5146351492816366,0.18,229.104,16319.541
2012-07-17,885.0,898.5,866.0,890.25,55828,25.920508580098904,0.5909196359477663,0.17,229.104,16319.541
2012-07-18,903.25,907.75,865.5,885.0,55132,27.039780164599417,0.814475929784431,0.16,229.104,16319.541
2012-07-19,935.0,938.0,896.5,902.75,79484,27.88439735585849,3.637080981788432,0.13,229.104,16319.541
2012-07-20,943.25,944.75,916.75,932.0,70833,28.02515043667836,0.6073642750728114,0.13,229.104,16319.541
2012-07-23,912.75,947.25,903.75,944.5,61782,26.78030616856644,1.406020657775846,0.14,229.104,16319.541
2012-07-24,878.75,914.25,852.75,910.75,83045,26.98595305577049,11.57125538468944,0.15,229.104,16319.541
2012-07-25,903.25,909.0,862.5,880.25,67807,27.496513710806823,0.8996365610066513,0.15,229.104,16319.541
2012-07-26,884.0,904.5,873.75,901.5,53384,25.172079975168423,1.4883785422123554,0.14,229.104,16319.541
2012-07-27,898.0,911.0,879.5,884.5,49716,24.726190101316348,0.6568612663682472,0.14,229.104,16319.541
2012-07-30,914.5,919.75,903.0,908.0,42804,27.247126100965644,0.1374412438971587,0.14,229.104,16319.541
2012-07-31,888.25,919.5,886.0,911.75,60843,27.629411273696697,0.5470778420379028,0.13,229.104,16319.541
2012-08-01,879.5,897.0,861.75,889.0,54248,27.73690761802687,0.3875970869454584,0.14,230.379,16319.541
2012-08-02,865.0,889.75,856.0,879.0,45787,26.561271600112143,1.603940673864053,0.14,230.379,16319.541
2012-08-03,891.25,907.0,860.5,863.25,53330,26.072082123576017,0.646682263913352,0.14,230.379,16319.541
2012-08-06,893.25,897.25,876.75,883.25,39183,24.96257510907001,0.5529213655759577,0.14,230.379,16319.541
2012-08-07,889.0,904.5,883.5,892.0,53665,25.10697289693193,0.3712555612209605,0.13,230.379,16319.541
2012-08-08,899.25,902.75,869.25,889.75,76111,25.97236664986836,4.813713343530347,0.13,230.379,16319.541
2012-08-09,913.0,919.5,898.0,899.0,75336,24.69809966105621,0.5703835521748974,0.13,230.379,16319.541
2012-08-10,885.25,931.75,880.0,912.75,86207,22.87902041440676,0.617673303806832,0.13,230.379,16319.541
2012-08-13,856.75,885.25,854.75,882.5,74319,21.93840177958324,1.1738673299466988,0.13,230.379,16319.541
2012-08-14,839.75,866.0,838.25,857.0,45444,21.628940989695003,1.030920969262703,0.13,230.379,16319.541
2012-08-15,846.75,850.75,840.0,840.0,35525,22.696138886080146,0.3811726617451451,0.13,230.379,16319.541
2012-08-16,861.75,868.75,841.25,848.0,25173,21.550411679183043,0.4838411114329183,0.13,230.379,16319.541
2012-08-17,874.5,880.0,861.0,861.25,21210,20.412440678240763,1.085478104833133,0.13,230.379,16319.541
2012-08-20,879.5,883.5,866.75,874.0,28033,19.010724016549364,0.3178466739429271,0.13,230.379,16319.541
2012-08-21,900.5,904.75,877.75,879.75,32123,20.29332130298229,0.0732022789332983,0.13,230.379,16319.541
2012-08-22,896.5,899.0,889.5,899.0,21950,23.680856769042794,1.8257715974524216,0.13,230.379,16319.541
2012-08-23,874.5,903.25,871.5,896.25,19134,24.45470088532362,0.4019234952273542,0.13,230.379,16319.541
2012-08-24,867.5,885.5,866.0,873.5,22369,23.82004885169026,5.211701904364061,0.13,230.379,16319.541
2012-08-27,862.0,877.75,860.75,868.0,19853,23.9940584181321,0.6345955505197807,0.13,230.379,16319.541
2012-08-28,854.75,869.0,851.5,862.5,11171,25.283525183824672,0.4521051220902346,0.13,230.379,16319.541
2012-08-29,885.5,887.5,853.25,854.75,12771,25.22927184246037,0.2065378784549419,0.13,230.379,16319.541
2012-08-30,883.5,896.75,878.5,885.0,14132,24.11612016910128,0.2473906970287839,0.14,230.379,16319.541
2012-08-31,870.0,888.0,862.25,885.5,2460,23.70451591330289,13.062617911589369,0.13,230.379,16319.541
2012-09-04,866.0,881.75,858.5,875.5,1779,24.04809671690885,1.5819439829130744,0.14,231.407,16319.541
