State code,County code,centroid_lat,centroid_lon,2024 planted area (acres),weight
30,071,48.264277645607315,-107.91210392761988,137199.61,0.002214277806916951
30,073,48.22814199792833,-112.22651209749004,0.0,0.0
30,073,48.22814199792833,-112.22651209749004,97204.05,0.0015687855866167962
30,073,48.22814199792833,-112.22651209749004,52507.65,0.00084742605382306
30,073,48.22814199792833,-112.22651209749004,25294.82,0.00040823555224361814
30,073,48.22814199792833,-112.22651209749004,430.67,6.950624882278626e-06
30,073,48.22814199792833,-112.22651209749004,175437.19,0.002831397817565753
30,075,45.3964151386655,-105.62992704686695,0.0,0.0
30,075,45.3964151386655,-105.62992704686695,5829.06,9.407576445142463e-05
30,075,45.3964151386655,-105.62992704686695,1407.25,2.2711744179038698e-05
30,075,45.3964151386655,-105.62992704686695,7236.31,0.00011678750863046333
30,077,46.860084351093754,-112.93763116390505,0.0,0.0
30,077,46.860084351093754,-112.93763116390505,388.87,6.276010629882948e-06
30,077,46.860084351093754,-112.93763116390505,53.5,8.634416866786785e-07
30,077,46.860084351093754,-112.93763116390505,442.37,7.139452316561626e-06
30,079,46.86128700681938,-105.37880773703105,0.0,0.0
30,079,46.86128700681938,-105.37880773703105,12270.25,0.0001980307543171786
30,079,46.86128700681938,-105.37880773703105,12611.13,0.00020353224968456228
30,079,46.86128700681938,-105.37880773703105,787.96,1.2716962830566945e-05
30,079,46.86128700681938,-105.37880773703105,25669.34,0.0004142799668323078
30,081,46.0841419725272,-114.12048182333633,0.0,0.0
30,081,46.0841419725272,-114.12048182333633,347.57,5.609465925960902e-06
30,083,47.78887819366686,-104.56204103606277,0.0,0.0
30,083,47.78887819366686,-104.56204103606277,10240.7,0.0001652756501078569
30,083,47.78887819366686,-104.56204103606277,146281.96,0.0023608587340759432
30,083,47.78887819366686,-104.56204103606277,17238.58,0.00027821511385318383
30,083,47.78887819366686,-104.56204103606277,173761.24,0.002804349498036984
30,085,48.29503390015246,-105.01661595374661,0.0,0.0
30,085,48.29503390015246,-105.01661595374661,5296.79,8.548540731930388e-05
30,085,48.29503390015246,-105.01661595374661,223756.7,0.0036112310739000947
30,085,48.29503390015246,-105.01661595374661,78356.68,0.0012646060549858218
30,085,48.29503390015246,-105.01661595374661,307410.17,0.00496132253620522
30,087,46.236017262027005,-106.73212625316995,0.0,0.0
30,087,46.236017262027005,-106.73212625316995,10680.36,0.00017237136547169142
30,087,46.236017262027005,-106.73212625316995,16321.22,0.00026340975187764075
30,087,46.236017262027005,-106.73212625316995,872.54,1.408200765036662e-05
30,087,46.236017262027005,-106.73212625316995,633.26,1.0220244532825045e-05
30,087,46.236017262027005,-106.73212625316995,28507.38,0.00046008336953252385
30,089,47.67639586325748,-115.13493602141057,0.0,0.0
30,089,47.67639586325748,-115.13493602141057,128.46,2.0732283938456644e-06
30,091,48.7218332690203,-104.50485171325688,0.0,0.0
