date,Close,High,Low,Open,Volume,weighted_tavg,weighted_prcp
2001-03-13,277.0,270.25,268.0,268.0,133.0,7.412300754225815,0.6426454694275796
2001-03-14,277.0,270.25,268.0,268.0,133.0,6.636231466263766,4.09800529581105
2001-03-15,284.0,285.0,283.5,284.75,266.0,3.3032345028470296,6.849820365012436
2001-03-16,273.0,274.5,273.0,273.75,97.0,2.2560488651278963,0.5278769237070284
2001-03-17,273.0,274.5,273.0,273.75,97.0,2.108464297066972,0.11258559995250891
2001-03-18,273.0,274.5,273.0,273.75,97.0,3.9305028977355425,0.21290429491667964
2001-03-19,271.25,271.25,270.0,270.0,68.0,5.680551889949177,0.17357152873310966
2001-03-20,268.75,269.5,267.5,269.5,108.0,5.602694481686338,0.808508111749651
2001-03-21,269.75,271.25,269.75,271.25,58.0,6.6852643781713255,0.6107725368548063
2001-03-22,267.5,268.0,266.0,267.0,196.0,6.735661274373705,0.4593840665165171
2001-03-23,261.5,261.75,260.25,260.25,70.0,4.877297393557097,0.9405837577917802
2001-03-24,261.5,261.75,260.25,260.25,70.0,1.7573840576316728,0.8423585779043634
2001-03-25,261.5,261.75,260.25,260.25,70.0,0.3130957645185251,0.158424892154191
2001-03-26,264.5,265.0,263.25,263.25,178.0,0.7010534515729885,0.16060930525929717
2001-03-27,269.25,269.5,267.25,268.0,50.0,1.5388887467634458,6.021452054797977
2001-03-28,269.0,269.0,266.5,266.75,101.0,4.3978672352563315,6.390691606664417
2001-03-29,265.0,266.0,263.75,266.0,22.0,6.780299153724327,1.5044960507168543
2001-03-30,265.0,266.0,263.75,266.0,22.0,6.908401417853561,2.9007420931469685
2001-03-31,265.0,266.0,263.75,266.0,22.0,5.99278991107008,0.8893995836489494
2001-04-01,265.0,266.0,263.75,266.0,22.0,6.390053651173893,0.3695064688956552
2001-04-02,260.5,260.5,259.0,260.0,29.0,9.457133497134798,1.282593723693343
2001-04-03,260.5,260.5,259.0,260.0,29.0,10.19020097267973,2.6565267921822224
2001-04-04,263.25,263.25,262.25,262.25,60.0,10.47310318993624,1.2757682681255067
2001-04-05,267.5,268.0,266.25,266.5,16.0,12.686421606344327,0.3196241121493073
2001-04-06,266.75,266.75,265.5,266.0,25.0,12.837050173069674,2.317895240110489
2001-04-07,266.75,266.75,265.5,266.0,25.0,13.056234898077765,4.983791087822791
2001-04-08,266.75,266.75,265.5,266.0,25.0,12.543515082763497,1.9522085372296278
2001-04-09,264.0,264.5,262.5,262.5,64.0,13.663475244845435,0.6488547737978531
2001-04-10,261.75,263.0,261.5,261.5,160.0,13.104570277174659,4.365092526924814
2001-04-11,257.0,257.75,256.5,257.75,89.0,11.369895185332842,9.295391988946736
2001-04-12,263.0,263.0,261.25,261.25,87.0,10.265483787931657,0.9557994602816557
2001-04-13,263.0,263.0,261.25,261.25,87.0,11.273179607348244,0.8494736404778853
2001-04-14,263.0,263.0,261.25,261.25,87.0,12.268525302861429,4.172612726166885
2001-04-15,263.0,263.0,261.25,261.25,87.0,9.576221894755847,1.2394671038287166
2001-04-16,270.5,270.5,267.25,267.25,55.0,6.8805657778138345,0.0640355536640305
2001-04-17,269.5,270.5,268.0,269.5,45.0,6.839788155233042,0.36707931199489313
2001-04-18,265.75,267.5,265.5,265.75,43.0,9.75329768430045,0.03810702310571188
2001-04-19,269.5,269.5,268.0,269.0,10.0,12.59462939171541,0.008007120055581934
2001-04-20,267.75,267.75,267.0,267.0,66.0,14.934152785910776,2.2552466695759037
2001-04-21,267.75,267.75,267.0,267.0,66.0,13.465683809520272,1.3844188315878667
2001-04-22,267.75,267.75,267.0,267.0,66.0,12.741253783840559,6.64905945265733
2001-04-23,268.0,268.25,267.25,267.25,6.0,11.632726280846196,2.5431912662454788
2001-04-24,264.75,265.25,263.75,263.75,25.0,11.360740381517914,4.301343706333261
2001-04-25,265.0,265.0,264.5,264.5,6.0,14.385532218967224,0.15862516786506847
2001-04-26,270.25,270.25,268.25,268.25,42.0,15.76984932213469,0.05034029619652849
2001-04-27,268.75,270.5,268.75,270.25,45.0,17.43178119811528,0.012951607060479143
2001-04-28,268.75,270.5,268.75,270.25,45.0,18.01759493669872,0.009712322890017331
2001-04-29,268.75,270.5,268.75,270.25,45.0,17.882420803616338,0.30880382243317633
2001-04-30,265.75,268.75,265.25,265.25,15.0,17.249508286255356,1.4297951568881144
2001-05-01,275.5,275.5,273.5,273.5,15.0,17.180477879101566,1.3497808807436726
2001-05-02,271.0,275.5,273.5,273.5,15.0,16.404125735182042,1.6030306162443941
2001-05-03,268.25,268.25,268.25,268.25,15.0,15.911836650686956,6.459753846862236
2001-05-04,263.0,263.0,263.0,263.0,15.0,15.736453795932217,2.4997892670471304
2001-05-05,263.0,263.0,263.0,263.0,15.0,15.875955377937945,5.296415152055021
2001-05-06,263.0,263.0,263.0,263.0,15.0,15.387912237068445,5.510374418019585
2001-05-07,263.0,263.0,263.0,263.0,15.0,14.097235935182447,0.7296398078528151
2001-05-08,263.0,263.0,263.0,263.0,15.0,15.856910510516318,0.28533180042761797
2001-05-09,257.75,257.75,257.75,257.75,3.0,18.00636560739713,0.4437953669660173
2001-05-10,256.5,256.5,256.5,256.5,3.0,17.758935101717707,2.005849236006604
2001-05-11,260.0,256.5,256.5,256.5,3.0,16.300762447494584,1.5321234498670862
2001-05-12,260.0,256.5,256.5,256.5,3.0,17.294755426995298,0.5095798370697995
2001-05-13,260.0,256.5,256.5,256.5,3.0,19.47475583008187,0.13584210249300066
2001-05-14,260.0,256.5,256.5,256.5,401.0,21.455229238368034,0.16744318448606832
2001-05-15,279.5,281.75,279.0,279.25,203.0,21.349755071918743,0.5022680442199908
2001-05-16,277.0,277.5,276.5,277.0,121.0,20.1471166599541,0.46360461531614033
2001-05-17,275.0,275.75,274.75,275.75,102.0,19.49039301996892,8.525148095354048
2001-05-18,275.5,277.0,275.0,276.0,169.0,19.015114185760762,6.113462964945077
2001-05-19,275.5,277.0,275.0,276.0,169.0,19.68633586929539,1.763206399504846
2001-05-20,275.5,277.0,275.0,276.0,169.0,16.433550154617095,6.356845896880603
2001-05-21,269.75,270.75,269.0,270.75,293.0,13.398921641324401,1.8965992754302534
2001-05-22,263.0,265.0,263.0,264.5,87.0,13.74494019106389,1.604221821135961
2001-05-23,262.0,262.0,260.0,260.0,72.0,14.295259737697883,0.9019254169649971
2001-05-24,261.75,261.75,260.5,260.5,34.0,15.259954779347071,1.3514034961717307
2001-05-25,262.5,262.5,261.75,261.75,272.0,16.20054074984781,1.5954238567715746
2001-05-26,262.5,262.5,261.75,261.75,272.0,17.911286002863122,1.6290772899755794
2001-05-27,262.5,262.5,261.75,261.75,272.0,18.087974539044428,5.686635729374757
2001-05-28,262.5,262.5,261.75,261.75,272.0,18.98391353229479,0.4440929554987114
2001-05-29,260.5,262.25,260.25,260.5,149.0,18.374366003973382,1.3224643812737125
2001-05-30,267.5,267.5,265.75,265.75,277.0,18.449438529302626,12.011626435981904
2001-05-31,264.75,264.75,264.0,264.25,149.0,16.76799679991681,5.27762310952504
2001-06-01,269.0,269.0,266.75,266.75,227.0,16.934955036952378,6.048024621705554
2001-06-02,269.0,269.0,266.75,266.75,227.0,17.712978836946707,0.5398650683838699
2001-06-03,269.0,269.0,266.75,266.75,227.0,16.361877676341738,7.111597635464778
2001-06-04,269.5,269.75,265.0,269.5,195.0,16.648062002439126,10.227142985204795
2001-06-05,263.5,263.5,263.0,263.0,93.0,17.205588223948467,6.686267454764639
2001-06-06,259.5,260.5,259.5,260.0,153.0,19.217104564638362,3.437276997188375
2001-06-07,262.75,263.5,262.0,262.0,63.0,20.251106253929674,11.22348490684242
2001-06-08,265.0,265.0,263.25,264.25,119.0,20.569844723297876,2.900817597525653
2001-06-09,265.0,265.0,263.25,264.25,119.0,20.95738338847028,11.087021457280207
2001-06-10,265.0,265.0,263.25,264.25,119.0,22.70690857002381,0.5250153732274487
2001-06-11,265.0,265.0,263.25,264.25,119.0,22.282420950119565,5.872922955751763
2001-06-12,260.5,261.75,260.5,261.5,94.0,21.120910902635913,1.6588132816156473
2001-06-13,264.5,264.5,262.75,262.75,323.0,20.991065196625478,10.858375901955462
2001-06-14,259.25,262.0,259.25,261.75,94.0,19.55226912645029,4.723703588089399
2001-06-15,258.25,258.75,258.0,258.0,328.0,19.25421487005305,1.6397343010385967
2001-06-16,258.25,258.75,258.0,258.0,328.0,20.512755503566122,0.4292196462002008
2001-06-17,258.25,258.75,258.0,258.0,328.0,21.183444884679698,0.3889298342823659
2001-06-18,256.5,256.5,255.0,256.0,279.0,20.74520152486747,1.9901820470840503
2001-06-19,264.0,264.0,263.0,263.0,328.0,19.68081267772255,4.585047504073972
2001-06-20,262.0,262.0,261.0,261.0,69.0,20.007286896940467,12.27008761537698
2001-06-21,255.0,256.0,254.5,254.5,71.0,20.068764051311625,3.7836747209339703
2001-06-22,254.75,256.0,254.75,255.0,62.0,19.96200815059435,1.2230138519302518
2001-06-23,254.75,256.0,254.75,255.0,62.0,21.7140803877794,0.38715095394479554
2001-06-24,254.75,256.0,254.75,255.0,62.0,19.116175803736247,0.5674824055753586
2001-06-25,251.0,252.0,251.0,251.0,119.0,23.915015256287724,0.38749948477801704
2001-06-26,248.0,248.0,245.0,245.25,77.0,23.323301658891953,3.5495063192479464
2001-06-27,249.0,249.0,247.75,247.75,170.0,23.836526624280282,0.48475753076369876
2001-06-28,249.0,249.0,247.5,247.5,116.0,24.03893625489506,0.6162156297102694
2001-06-29,244.75,244.75,243.0,243.0,7.0,23.942402140683885,0.34242189232801956
2001-06-30,244.75,244.75,243.0,243.0,7.0,22.492842757819552,0.6013610289796911
2001-07-01,244.75,244.75,243.0,243.0,7.0,16.132785828877573,4.548481251224506
2001-07-02,246.25,256.0,246.25,256.0,30.0,22.33270494397408,0.9948245194886842
2001-07-03,250.0,250.75,250.0,250.25,30.0,24.22330206796338,2.982990933671168
2001-07-04,250.0,250.75,250.0,250.25,30.0,23.68044125922945,0.6433189179253521
2001-07-05,253.5,250.25,250.0,250.25,30.0,23.719076141294828,0.7502629776466727
2001-07-06,257.0,257.0,257.0,257.0,3.0,25.364899296342415,1.5542884432043085
2001-07-07,257.0,257.0,257.0,257.0,3.0,25.785005909812448,0.8716974551403679
2001-07-08,257.0,257.0,257.0,257.0,3.0,26.667400460517204,0.4755322225432787
2001-07-09,257.75,257.75,257.75,257.75,3.0,26.354661364869642,1.2822183309257287
2001-07-10,258.25,257.75,257.75,257.75,3.0,24.757441441556708,6.419397739322764
2001-07-11,262.0,262.0,262.0,262.0,18.0,23.948537858525746,6.986159017045295
2001-07-12,265.0,267.0,265.0,267.0,581.0,24.139507381359806,0.8290580247013689
2001-07-13,287.75,291.75,287.0,289.75,234.0,23.29431325431015,1.4494213929518647
2001-07-14,287.75,291.75,287.0,289.75,234.0,23.0672210158044,1.2891916092865008
2001-07-15,287.75,291.75,287.0,289.75,234.0,21.984364179011713,0.3580091099669772
2001-07-16,283.0,284.5,282.0,284.5,581.0,24.278048509489217,0.21610886927794648
2001-07-17,290.0,292.75,282.25,282.25,234.0,25.673850161492037,1.3827208900539718
2001-07-18,285.75,290.0,283.0,289.0,427.0,25.401826366120495,3.13689174694254
2001-07-19,291.0,293.25,288.25,289.0,238.0,25.38162031830938,1.8230004186401472
2001-07-20,289.0,291.0,288.25,290.0,427.0,21.937090623240184,1.5363210600332102
2001-07-21,289.0,291.0,288.25,290.0,427.0,26.49157566768916,4.242330730663445
2001-07-22,289.0,291.0,288.25,290.0,427.0,19.29347425051634,4.127278634622356
2001-07-23,281.0,283.0,279.0,279.25,246.0,25.93703870966834,3.7467372601405513
2001-07-24,288.0,288.5,285.0,285.0,95.0,24.410138914036196,3.1032007905199803
2001-07-25,284.75,284.75,281.5,281.5,149.0,23.965191380381825,1.0515730846777558
2001-07-26,283.5,284.5,282.5,284.0,95.0,23.736224094138535,1.096043572891029
2001-07-27,281.5,281.5,279.5,279.5,137.0,23.433744266257694,6.090724955981891
2001-07-28,281.5,281.5,279.5,279.5,137.0,24.563865205139624,9.41921198435811
2001-07-29,281.5,281.5,279.5,279.5,137.0,25.01548362483274,2.5047308829760055
2001-07-30,279.5,281.0,279.0,279.75,117.0,25.797313111360317,1.1736360619408708
2001-07-31,275.0,276.0,274.5,275.0,71.0,26.38029221455555,2.7715860391348865
2001-08-01,279.25,279.5,277.0,277.5,117.0,25.31151424938709,1.2653623203644075
2001-08-02,276.5,277.0,274.0,274.0,71.0,25.716310660816553,0.2873422108299002
2001-08-03,270.25,271.5,269.5,269.5,15.0,24.960848875840103,0.9191174731763243
2001-08-04,270.25,271.5,269.5,269.5,15.0,27.22802829113143,0.14043800152572072
2001-08-05,270.25,271.5,269.5,269.5,15.0,27.11381582331821,0.6398476109867209
2001-08-06,265.0,266.5,264.5,264.75,59.0,26.567283103167263,0.41850887935371134
2001-08-07,267.5,268.25,266.25,266.25,24.0,26.8310157185989,0.692764484386718
2001-08-08,269.5,269.5,268.0,268.0,69.0,26.138427487090606,3.379638263480313
2001-08-09,270.0,270.0,268.75,268.75,24.0,23.96787578867858,1.6153394152757552
